Rules
			Interface 	Protocol 	Source Address 	Source Ports 	Dest. Address 	Dest. Ports 	NAT IP 	NAT Ports 	Description 	Actions
			WAN 	TCP 	* 	* 	WAN address 	8080 	172.18.5.40 	80 (HTTP) 	Publicacion de Weblogic 11gR2 	
			WAN 	TCP 	ROMAN_IP_PUBLICAS 	* 	WAN address 	8080 	172.18.5.40 	80 (HTTP) 	Publicacion de Weblogic 11gR2 (ROMAN) 	
			WAN 	TCP 	Argocean_IP_Publicas 	* 	WAN address 	8080 	172.18.5.40 	80 (HTTP) 	Weblogic 11gR2 argocean 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	1521 	172.18.5.38 	1521 	mitiga Publicacion de Base Datos 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	1520 	172.18.5.60 	1521 	mitiga Publicacion de Base Datos - ARGOCEAN 	
			WAN 	TCP 	ROMAN_IP_PUBLICAS 	* 	WAN address 	1521 	172.18.5.38 	1521 	Publicacion de Base Datos 	
			WAN 	TCP 	* 	* 	WAN address 	8889 	172.18.5.243 	8889 	Cefas CondorLink 	
			WAN 	TCP 	* 	* 	WAN address 	9001 	172.18.5.243 	9001 	Cefas CondorLink Backend 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	2222 	172.18.5.243 	22 (SSH) 	Docker SYT 	
			WAN 	TCP 	* 	* 	WAN address 	4443 	172.18.5.2 	443 (HTTPS) 	FW Https 	
			WAN 	TCP 	* 	* 	200.55.243.117 	8888 	10.10.1.100 	8888 	CEFAS WL 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	214 	10.10.1.100 	22 (SSH) 	CEFAS WL ssh 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	2144 	10.10.1.100 	7001 	CEFAS WL admin 	
			WAN 	TCP 	* 	* 	200.55.243.117 	443 (HTTPS) 	10.10.1.50 	443 (HTTPS) 	GIAR WL 	
			WAN 	TCP 	* 	* 	200.55.243.117 	80 (HTTP) 	10.10.1.50 	80 (HTTP) 	GIAR WL http 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	215 	10.10.1.50 	22 (SSH) 	GIAR WL ssh 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	1521 	10.10.1.8 	1521 	mitiga CEFAS DB 1521 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	213 - 218 	10.10.1.8 	22 - 27 	CEFAS DB ssh 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	1522 	10.10.1.9 	1521 	mitiga GIAR DB 1521 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	51521 	10.1.1.10 	1521 	mitiga GIAR DB 1521 NUEVO 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	212 	10.10.1.9 	22 (SSH) 	GIAR DB ssh 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	200.55.243.117 	2222 	10.10.1.43 	22 (SSH) 	CEFAS Docker ssh 	
			WAN 	TCP 	* 	* 	200.55.243.117 	8881 	10.10.1.43 	8881 	CEFAS CONDORLINK 	
			WAN 	TCP 	* 	* 	200.55.243.117 	9001 	10.10.1.43 	9001 	CEFAS CONDORLINK Backend 	
			WAN 	TCP 	* 	* 	WAN address 	81 	10.10.1.43 	81 	NGINX 	
			WAN 	TCP 	* 	* 	WAN address 	80 (HTTP) 	10.10.1.43 	80 (HTTP) 	NGINX http 	
			WAN 	TCP 	* 	* 	WAN address 	443 (HTTPS) 	10.10.1.43 	443 (HTTPS) 	NGINX https 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	61991 	10.10.1.3 	22 (SSH) 	SSH WL12C Clientes 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	9999 	172.18.5.200 	9090 	obackup cockpit 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	2232 	172.18.5.111 	22 (SSH) 	WL12-CLI-SYT 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	2233 	172.18.5.112 	22 (SSH) 	DB-CLI-SYT 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	2236 	172.18.5.112 	1525 	mitiga DB-CLI-SYT-LISTENER 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	2333 	172.18.5.6 	22 (SSH) 	DB-PROD 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	2234 	172.18.5.111 	7001 	wl12-cl-syt-CONSOLE 	
			WAN 	TCP 	* 	* 	WAN address 	2235 	172.18.5.111 	8001 	wl12-cl-syt-ORDS-ROMANS 	
			WAN 	TCP 	* 	* 	WAN address 	2223 	172.18.5.111 	9001 	wl12-cl-syt 	
			WAN 	TCP 	* 	* 	WAN address 	2224 	172.18.5.111 	9002 	wl12-cl-syt_report 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	9996 	10.10.1.132 	22 (SSH) 	DB_CLIENTES TEST 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	61160 - 62000 	10.10.1.200 	61160 - 62000 	veem proxy 	
